gameid,time,roundNum,subA,subB,subC,subD,subE,subF,subG,subH,subI,subJ,subK,subL,trueA,trueB,trueC,trueD,trueE,trueF,trueG,trueH,trueI,trueJ,trueK,trueL,score
0955-2,1459974516792,1,2,10,3,1,9,5,12,8,4,11,6,7,2,6,3,7,9,12,5,8,4,11,10,1,6
0955-2,1459974685595,2,6,8,9,3,7,4,1,11,5,12,10,2,6,1,9,3,7,4,8,11,5,12,10,2,10
0955-2,1459974829179,3,10,7,9,4,1,2,3,8,5,11,6,12,10,6,9,4,1,2,7,8,5,11,3,12,9
0955-2,1459974922593,4,11,3,10,1,5,8,12,6,2,4,7,9,11,3,10,1,5,8,9,6,2,4,12,7,9
0955-2,1459975016979,5,3,5,9,11,1,6,12,10,8,7,4,2,8,5,9,11,1,6,4,10,3,7,12,2,8
0955-2,1459975157390,6,7,9,4,6,2,12,10,3,11,5,8,1,7,9,4,6,2,12,10,3,11,5,8,1,12
4459-4,1459974907916,1,2,4,5,7,8,12,9,3,1,10,6,11,11,6,5,7,8,12,2,9,1,10,4,3,6
4459-4,1459975262488,2,4,11,12,3,7,2,1,10,9,8,6,5,1,11,12,3,7,2,4,10,9,8,6,5,10
4459-4,1459975411971,3,3,7,1,6,11,10,9,5,8,4,2,12,3,7,1,6,11,10,9,5,8,4,2,12,12
4459-4,1459975524790,4,1,4,11,2,5,10,3,9,6,12,8,7,1,4,11,2,5,10,3,9,6,12,8,7,12
4459-4,1459975658700,5,2,9,3,11,4,10,5,8,1,6,12,7,2,9,3,11,4,10,5,8,1,6,12,7,12
4459-4,1459975745171,6,12,6,3,8,2,7,5,10,1,4,9,11,12,6,3,8,2,7,5,10,1,4,9,11,12
4895-5,1459975215389,1,7,9,1,11,12,8,4,6,2,10,3,5,7,9,1,11,12,8,4,10,2,3,5,6,8
4895-5,1459975507869,2,12,11,5,4,6,7,1,3,2,8,10,9,12,6,1,4,3,7,5,8,2,9,10,11,5
4895-5,1459975860924,3,5,9,4,2,11,8,1,12,6,7,3,10,5,9,4,2,11,8,1,7,6,10,3,12,9
4895-5,1459976106397,4,9,10,3,7,5,2,11,12,8,6,4,1,9,10,3,7,5,2,11,6,8,1,4,12,9
4895-5,1459976106483,5,9,10,3,7,5,2,11,12,8,6,4,1,10,11,8,2,1,7,9,6,3,5,12,4,0
4895-5,1459976320836,6,12,9,3,5,1,11,6,2,10,8,4,7,12,9,3,5,1,11,6,2,10,8,4,7,12
5273-c,1459975656385,1,11,10,8,1,5,12,7,6,3,4,9,2,11,10,8,1,5,12,7,6,3,4,9,2,12
5273-c,1459975883332,2,10,3,7,8,12,11,6,2,9,4,5,1,10,3,7,8,12,11,6,2,9,4,1,5,10
5273-c,1459976179854,3,3,6,10,5,12,9,1,8,4,7,11,2,3,6,10,5,12,9,11,8,4,7,1,2,10
5273-c,1459976605374,4,12,9,8,6,4,3,2,7,11,5,1,10,12,9,8,6,4,3,2,7,11,5,1,10,12
5273-c,1459976787141,5,11,12,2,4,8,10,6,5,3,1,7,9,11,12,2,4,8,10,7,5,3,1,6,9,10
5273-c,1459976974953,6,11,2,7,5,3,10,4,9,1,8,12,6,11,2,7,5,3,10,4,9,1,8,12,6,12
9475-3,1459976528591,1,8,4,7,1,12,3,11,9,6,10,5,2,8,4,7,1,12,3,11,9,6,10,5,2,12
9475-3,1459976869414,2,10,6,3,12,2,5,9,8,11,7,4,1,10,4,3,12,2,5,9,8,11,6,1,7,8
9475-3,1459977163302,3,6,12,7,5,2,3,11,1,4,8,9,10,6,12,7,5,2,3,11,1,4,8,9,10,12
9475-3,1459977405768,4,1,7,12,3,6,8,10,9,5,4,11,2,1,7,12,3,6,8,10,9,5,4,11,2,12
9475-3,1459977543447,5,5,6,8,1,10,11,7,4,12,2,9,3,5,6,8,1,10,11,7,4,12,2,9,3,12
9475-3,1459977652927,6,9,6,7,12,3,11,4,5,10,8,2,1,9,6,7,12,3,11,4,5,10,8,2,1,12
9917-f,1459977599320,1,2,5,7,11,12,6,10,4,9,3,8,1,2,5,7,9,12,6,11,4,3,10,8,1,8
9917-f,1459977940214,2,12,2,3,7,11,5,10,1,4,9,6,8,12,10,3,2,11,5,9,1,4,7,6,8,8
9917-f,1459978246850,3,8,3,5,7,10,12,2,1,4,6,9,11,8,3,5,7,10,12,2,1,4,6,9,11,12
9917-f,1459978403211,4,8,7,6,5,4,12,2,1,10,11,9,3,8,7,6,5,4,12,2,1,10,11,9,3,12
9917-f,1459978513100,5,12,1,10,5,4,11,2,3,8,6,9,7,12,1,10,5,4,11,2,3,8,6,9,7,12
9917-f,1459978615737,6,5,4,12,1,9,8,2,6,7,10,3,11,5,4,12,1,9,8,2,6,7,10,3,11,12
8657-3,1459977385218,1,9,8,2,1,11,10,6,4,7,12,5,3,6,5,2,1,11,10,9,4,7,8,3,12,6
8657-3,1459977494706,2,2,12,10,6,11,7,1,9,5,3,4,8,2,12,11,6,1,7,10,9,5,3,8,4,7
8657-3,1459977635699,3,1,8,9,12,4,6,5,2,3,7,11,10,1,11,4,12,5,6,9,2,3,7,10,8,6
8657-3,1459977751450,4,8,3,6,12,5,2,4,10,7,1,9,11,3,10,8,12,4,2,6,11,7,1,5,9,4
8657-3,1459977818900,5,7,5,8,12,6,1,2,11,9,10,4,3,7,2,3,12,8,1,10,11,9,6,5,4,5
8657-3,1459977928808,6,2,11,10,9,3,1,6,8,7,4,12,5,6,12,10,9,3,2,7,8,11,4,5,1,5
3622-6,1459977833467,1,7,2,5,8,12,3,6,10,1,9,11,4,7,2,5,8,12,3,6,10,1,9,11,4,12
3622-6,1459977968811,2,12,11,8,6,5,1,4,2,9,7,3,10,12,11,8,6,5,1,4,2,9,7,3,10,12
3622-6,1459978132399,3,1,8,2,11,9,12,5,7,10,4,3,6,1,8,2,11,9,12,5,7,10,4,3,6,12
3622-6,1459978277568,4,3,11,5,10,2,4,1,6,12,9,7,8,3,11,5,10,2,4,1,6,12,9,7,8,12
3622-6,1459978344374,5,2,10,1,8,4,9,5,6,12,7,11,3,2,10,1,8,4,9,5,6,12,7,11,3,12
3622-6,1459978399620,6,2,8,3,4,11,12,5,6,10,9,7,1,2,8,3,4,11,12,5,6,10,9,7,1,12
3825-d,1459978906722,1,5,8,6,4,11,2,10,7,1,3,12,9,5,8,6,4,11,2,10,7,1,3,12,9,12
3825-d,1459979241333,2,5,4,9,12,3,10,2,8,7,6,11,1,5,4,9,12,3,10,2,8,7,6,11,1,12
3825-d,1459979426152,3,4,3,10,6,12,5,2,7,9,8,1,11,4,3,10,6,12,5,2,7,9,8,1,11,12
3825-d,1459979550092,4,1,9,3,11,6,5,8,12,4,7,10,2,1,9,3,11,6,5,8,12,4,7,10,2,12
3825-d,1459979660958,5,7,12,5,10,8,4,11,2,9,3,6,1,7,12,5,10,8,4,11,2,9,3,6,1,12
3825-d,1459979774021,6,11,2,3,4,5,6,8,9,1,12,7,10,11,2,3,4,5,6,8,9,1,12,7,10,12
6050-b,1459979522321,1,6,9,4,10,12,8,1,3,2,11,7,5,6,5,4,10,12,8,1,3,2,11,9,7,9
6050-b,1459980179030,2,2,11,4,8,1,7,10,3,6,12,5,9,12,11,4,2,1,7,10,3,6,8,5,9,9
6050-b,1459980622407,3,6,11,4,1,2,8,3,9,10,7,12,5,7,11,4,6,2,8,3,9,10,1,12,5,9
6050-b,1459980852002,4,4,12,9,3,7,1,10,6,11,5,8,2,5,12,9,4,7,1,10,6,11,3,8,2,9
6050-b,1459980968973,5,1,8,4,11,5,10,9,6,2,3,12,7,3,8,4,1,5,10,9,6,2,11,12,7,9
6050-b,1459981155259,6,1,3,6,8,2,7,10,12,11,9,5,4,9,1,6,3,2,7,10,12,11,8,5,4,8
5436-e,1459979558365,1,8,12,6,9,7,5,10,1,3,11,2,4,8,5,6,9,7,12,10,1,3,11,2,4,10
5436-e,1459979781757,2,1,10,3,4,12,6,9,2,8,7,11,5,1,6,3,4,12,10,9,2,8,7,11,5,10
5436-e,1459980000458,3,6,4,1,8,12,10,3,9,11,7,2,5,6,10,1,8,12,4,3,9,11,7,2,5,10
5436-e,1459980255861,4,10,4,2,6,5,9,1,8,12,11,7,3,10,9,2,6,5,4,1,8,12,11,7,3,10
5436-e,1459980451599,5,10,12,4,11,7,8,6,1,9,3,2,5,10,8,4,11,7,1,6,5,9,3,2,12,8
5436-e,1459980585663,6,12,10,3,9,6,1,2,11,5,4,7,8,12,1,3,9,6,10,2,11,5,4,7,8,10
2699-6,1459979634142,1,12,4,2,6,11,5,10,8,9,1,7,3,12,4,2,6,11,5,10,8,9,1,7,3,12
2699-6,1459980258197,2,12,8,10,9,2,3,7,5,11,6,4,1,12,8,10,9,2,3,7,5,11,6,1,4,10
2699-6,1459980544209,3,3,6,5,11,12,2,9,10,1,7,8,4,3,6,5,11,12,2,9,4,1,7,8,10,10
2699-6,1459980730016,4,2,9,5,1,12,6,4,11,10,3,8,7,2,9,5,1,12,6,4,11,10,3,7,8,10
2699-6,1459980938982,5,5,1,6,4,10,3,2,8,9,7,11,12,5,1,6,4,10,3,2,8,9,7,12,11,10
2699-6,1459981070646,6,11,4,6,10,7,12,5,3,2,8,9,1,11,5,6,10,7,12,4,3,2,8,1,9,8
4862-d,1459979710807,1,3,4,8,1,9,6,2,10,7,5,12,11,3,11,8,1,4,6,2,10,7,5,9,12,8
4862-d,1459980196477,2,3,6,1,10,5,7,12,2,9,8,11,4,3,12,1,10,5,7,11,2,9,8,6,4,9
4862-d,1459980515172,3,7,6,5,8,4,11,10,3,1,9,12,2,7,10,5,4,6,11,8,3,1,9,2,12,6
4862-d,1459980783668,4,1,10,2,5,8,4,6,12,9,3,11,7,1,5,2,8,10,4,7,12,9,3,6,11,6
4862-d,1459981006208,5,5,2,7,6,11,12,9,1,4,8,3,10,5,9,7,3,2,12,6,1,4,8,11,10,7
4862-d,1459981166787,6,3,4,5,7,8,11,2,9,10,1,12,6,3,2,5,6,4,11,8,9,10,1,12,7,7
1447-6,1459979807976,1,8,11,10,4,6,3,12,2,9,7,1,5,9,11,10,4,6,3,12,2,8,7,1,5,10
1447-6,1459980060284,2,2,6,7,10,4,11,12,8,3,5,9,1,2,6,7,10,4,11,12,8,3,5,9,1,12
1447-6,1459980195385,3,2,11,6,1,10,9,12,3,4,7,8,5,12,11,6,1,10,9,2,3,4,7,5,8,8
1447-6,1459980339471,4,1,8,4,3,12,11,10,9,7,2,5,6,10,8,4,3,12,11,1,9,7,2,5,6,10
1447-6,1459980512424,5,10,9,6,8,3,12,4,1,11,5,7,2,4,9,6,8,3,12,10,1,11,5,7,2,10
1447-6,1459980698375,6,1,11,4,12,8,3,6,5,2,10,9,7,1,11,4,12,8,3,6,5,2,10,9,7,12
4396-5,1459981059241,1,7,9,8,4,12,11,10,2,6,1,5,3,7,9,8,4,12,11,10,2,6,1,5,3,12
4396-5,1459981371166,2,9,11,1,5,8,7,2,3,12,4,6,10,9,11,1,5,8,7,2,3,12,4,6,10,12
4396-5,1459981619365,3,10,12,4,8,11,7,5,1,6,2,3,9,10,12,4,8,11,7,5,1,6,2,3,9,12
4396-5,1459981820955,4,8,1,2,3,6,7,5,10,9,11,4,12,8,1,2,3,6,7,5,10,9,11,4,12,12
4396-5,1459982005714,5,10,5,11,4,12,6,2,1,8,3,7,9,10,5,11,4,12,6,2,1,8,3,7,9,12
4396-5,1459982161856,6,10,8,3,2,1,11,5,7,9,6,4,12,10,8,3,2,1,11,5,7,9,6,4,12,12
6212-1,1459981225528,1,3,1,6,7,9,2,12,11,8,4,10,5,3,1,6,7,9,2,12,5,8,4,11,10,9
6212-1,1459981945736,2,3,12,2,4,1,7,8,10,6,5,11,9,3,11,2,4,1,7,8,10,6,5,12,9,10
6212-1,1459982405085,3,11,9,12,7,10,5,6,4,2,1,3,8,11,9,12,7,10,5,6,4,2,1,3,8,12
6212-1,1459982649341,4,6,3,8,10,11,4,1,7,2,12,9,5,6,3,8,10,11,4,1,7,2,12,9,5,12
6212-1,1459982851075,5,5,12,6,2,8,7,9,11,10,4,3,1,5,12,6,2,8,7,9,11,10,4,3,1,12
6212-1,1459983029237,6,7,3,11,9,6,8,4,2,5,10,1,12,7,3,11,9,6,8,4,2,5,10,1,12,12
9976-4,1459981010254,1,10,4,8,3,11,1,2,9,7,12,5,6,10,2,8,9,11,1,4,5,7,12,3,6,7
9976-4,1459981274864,2,8,11,9,10,7,2,6,4,3,12,5,1,3,11,9,10,7,2,6,12,8,5,4,1,7
9976-4,1459982241697,3,10,5,4,8,7,11,3,9,2,1,6,12,10,9,4,8,7,5,3,1,2,12,11,6,6
9976-4,1459982583816,4,3,5,1,4,10,11,7,12,6,2,8,9,3,5,1,4,10,11,7,2,6,8,12,9,9
9976-4,1459982822750,5,6,8,7,9,5,12,1,11,4,10,2,3,6,8,7,9,5,12,1,2,4,10,11,3,10
9976-4,1459983069127,6,11,8,5,12,10,2,9,4,6,3,7,1,11,9,5,12,10,2,8,4,6,3,7,1,10
8085-3,1459980887951,1,10,3,5,9,8,11,4,7,2,12,1,6,11,6,5,8,2,1,4,7,12,9,10,3,3
8085-3,1459981298969,2,1,6,9,5,3,8,4,7,2,10,12,11,1,6,9,5,3,8,4,7,2,10,12,11,12
8085-3,1459981521781,3,12,10,3,1,5,7,4,9,6,8,2,11,12,10,3,1,5,7,4,9,6,8,2,11,12
8085-3,1459981687465,4,9,8,11,5,2,4,7,6,12,1,10,3,9,8,11,5,2,4,7,6,12,1,10,3,12
8085-3,1459981792946,5,7,2,9,3,10,11,5,12,6,4,1,8,7,2,9,3,10,11,5,12,6,4,1,8,12
8085-3,1459981908532,6,3,4,7,9,6,2,5,10,8,1,12,11,3,4,7,9,6,2,5,10,8,1,12,11,12
0604-1,1459981305717,1,7,1,4,5,2,11,6,3,10,8,9,12,7,1,4,5,2,11,6,3,10,8,9,12,12
0604-1,1459981609238,2,4,6,7,1,3,11,9,8,12,5,10,2,4,6,7,1,3,11,9,2,12,5,8,10,9
0604-1,1459981895900,3,6,9,10,4,5,11,12,7,2,3,8,1,6,9,10,4,5,11,12,7,2,3,1,8,10
0604-1,1459982136270,4,2,5,3,12,7,6,11,9,8,4,1,10,2,5,3,12,7,6,11,9,8,4,1,10,12
0604-1,1459982252971,5,2,1,4,8,9,7,10,12,5,3,6,11,2,1,4,8,9,7,10,12,5,3,11,6,10
0604-1,1459982409407,6,5,4,9,3,1,2,11,7,12,8,10,6,5,4,9,3,1,2,11,7,12,8,10,6,12
0261-2,1459981622971,1,10,12,5,7,8,1,4,6,9,3,11,2,10,12,5,7,8,1,4,6,9,3,11,2,12
0261-2,1459982056350,2,9,2,4,11,6,12,10,3,1,8,5,7,9,2,4,11,6,12,10,3,1,8,5,7,12
0261-2,1459982346627,3,6,1,9,7,10,5,8,4,2,12,3,11,6,1,9,7,10,5,8,4,2,12,3,11,12
0261-2,1459982545331,4,6,11,5,10,12,9,1,4,8,3,7,2,6,11,5,10,12,9,1,4,8,3,7,2,12
0261-2,1459982784223,5,3,5,9,8,7,12,11,10,4,2,1,6,3,5,9,8,7,12,11,10,4,2,1,6,12
0261-2,1459982924702,6,5,1,10,9,7,2,11,12,4,8,6,3,5,1,10,9,7,2,11,12,4,8,6,3,12
8715-c,1459981235526,1,1,6,7,12,3,10,4,5,11,9,8,2,4,6,7,12,3,10,1,5,11,9,8,2,10
8715-c,1459981385808,2,10,8,5,1,11,7,9,4,6,3,2,12,9,8,5,1,11,7,10,4,6,3,2,12,10
8715-c,1459981550164,3,6,9,7,3,5,2,11,4,12,1,8,10,6,9,7,3,5,2,11,4,12,1,8,10,12
8715-c,1459981638236,4,11,6,2,9,8,7,1,3,10,5,4,12,11,6,2,9,8,7,1,3,10,5,4,12,12
8715-c,1459981705472,5,10,6,1,8,4,2,5,7,12,3,11,9,10,6,1,8,4,2,5,7,12,3,11,9,12
8715-c,1459981781972,6,12,2,9,1,5,11,4,10,8,3,7,6,12,2,9,1,5,11,4,10,8,3,7,6,12
0168-f,1459981795100,1,3,12,6,11,8,4,10,5,7,2,9,1,3,9,6,11,8,4,10,5,7,2,12,1,10
0168-f,1459982115384,2,10,12,9,7,4,1,8,5,11,3,6,2,10,6,9,7,4,1,8,5,11,3,12,2,10
0168-f,1459982392791,3,7,12,5,9,4,8,1,11,6,10,2,3,7,2,5,9,4,8,1,11,6,12,10,3,9
0168-f,1459982670554,4,12,3,6,5,9,11,4,10,2,7,8,1,12,8,6,5,9,11,4,10,2,7,3,1,10
0168-f,1459982812049,5,9,3,4,5,11,7,12,2,6,8,10,1,9,10,4,5,11,7,12,2,6,8,1,3,9
0168-f,1459983234435,6,5,9,12,7,11,4,2,8,10,6,3,1,5,3,12,7,11,4,2,8,10,6,9,1,10
0561-5,1459982344258,1,5,1,6,8,3,9,2,10,7,4,12,11,11,5,6,8,3,9,4,10,7,1,12,2,7
0561-5,1459983141522,2,6,4,9,7,11,10,8,1,2,5,3,12,6,8,1,7,11,10,12,9,2,5,4,3,6
0561-5,1459983722390,3,11,5,7,4,10,1,8,12,9,2,3,6,11,7,2,4,10,1,5,12,9,8,3,6,8
0561-5,1459983883589,4,1,2,11,6,10,7,5,4,12,9,8,3,1,11,9,6,10,7,4,5,12,2,8,3,7
0561-5,1459984037562,5,5,9,10,4,3,1,12,11,7,8,6,2,5,10,11,4,3,1,9,12,7,8,6,2,8
0561-5,1459984159005,6,9,10,12,8,1,2,11,6,3,7,5,4,9,12,6,8,1,2,11,10,3,7,5,4,9
3425-5,1459982446360,1,11,8,5,6,3,4,10,2,12,9,1,7,12,8,5,6,3,4,10,11,2,9,1,7,9
3425-5,1459982992091,2,7,9,10,8,1,11,6,4,5,3,12,2,7,9,10,8,1,11,6,4,5,3,12,2,12
3425-5,1459983177346,3,3,4,2,7,1,12,5,11,6,10,9,8,3,4,2,7,1,12,5,11,6,10,9,8,12
3425-5,1459983277077,4,5,2,11,8,4,12,3,6,10,7,1,9,5,2,11,8,4,12,3,6,10,7,1,9,12
3425-5,1459983364018,5,5,10,6,8,12,4,7,2,9,11,3,1,5,10,6,8,12,4,7,2,9,11,3,1,12
3425-5,1459983440894,6,9,1,7,6,3,10,5,4,12,2,11,8,9,1,7,6,3,10,5,4,12,2,11,8,12
