gameid,time,roundNum,subA,subB,subC,subD,subE,subF,subG,subH,subI,subJ,subK,subL,trueA,trueB,trueC,trueD,trueE,trueF,trueG,trueH,trueI,trueJ,trueK,trueL,score
1957-1,1459989721580,4,7,4,10,6,11,12,2,8,9,5,1,3,7,4,10,6,11,12,2,8,9,5,1,3,12
1957-1,1459989854356,5,3,2,10,8,7,6,9,1,12,5,11,4,3,2,10,8,7,6,9,1,12,5,11,4,12
1957-1,1459989974322,6,4,8,11,1,3,9,7,6,12,5,2,10,4,8,11,1,3,9,7,6,12,5,2,10,12
4418-6,1459985223580,1,6,11,2,1,8,3,10,12,9,4,7,5,6,11,2,1,8,12,10,3,9,4,7,5,10
4418-6,1459985866631,2,3,8,10,1,9,6,2,11,5,7,12,4,3,8,10,1,9,6,2,11,5,7,12,4,12
4418-6,1459986364904,3,6,10,11,8,4,12,9,7,2,3,1,5,6,10,11,8,4,12,9,7,2,3,1,5,12
4418-6,1459986657831,4,3,10,12,11,8,9,7,6,2,5,1,4,3,10,12,11,8,9,7,6,2,5,1,4,12
4418-6,1459986875278,5,8,12,2,4,5,7,10,1,6,11,3,9,8,12,2,4,5,7,10,1,6,11,3,9,12
4418-6,1459987152376,6,2,12,8,6,1,10,3,11,9,5,7,4,2,12,8,6,1,10,3,11,9,5,7,4,12
1796-8,1459984611005,1,10,5,8,3,4,11,1,6,12,7,2,9,10,5,8,3,4,11,1,6,12,7,2,9,12
1796-8,1459984809600,2,4,12,9,6,7,8,2,3,1,5,10,11,4,12,9,5,7,8,2,3,1,6,10,11,10
1796-8,1459985036612,3,12,4,9,11,8,1,5,3,2,7,10,6,12,4,9,11,8,1,5,3,2,7,10,6,12
1796-8,1459985198328,4,2,7,9,3,4,12,11,8,10,1,6,5,2,7,9,3,4,12,11,8,10,1,6,5,12
1796-8,1459985340274,5,9,10,6,12,7,1,2,8,11,4,5,3,9,10,6,12,7,1,2,8,11,4,5,3,12
1796-8,1459985484038,6,5,4,7,6,3,2,9,12,8,11,1,10,5,4,7,6,3,2,9,12,8,11,1,10,12
2631-d,1459988969469,1,10,3,9,4,2,6,5,1,12,7,11,8,10,3,9,4,2,6,5,1,12,7,11,8,12
2631-d,1459989509702,2,9,7,11,10,4,3,2,6,12,8,1,5,9,7,11,10,4,3,2,6,12,8,1,5,12
2631-d,1459989768048,3,4,9,1,7,12,2,8,11,6,10,5,3,4,9,1,7,12,2,8,11,6,10,5,3,12
2631-d,1459989990346,4,6,4,8,1,12,11,2,10,3,5,7,9,6,4,8,1,12,11,2,10,3,5,7,9,12
2631-d,1459990186874,5,11,4,3,10,12,9,7,6,1,8,5,2,11,4,3,10,12,9,7,6,1,8,5,2,12
2631-d,1459990408313,6,6,3,9,4,5,1,2,11,12,10,8,7,6,3,9,4,5,1,2,11,12,10,8,7,12
0390-8,1459990200531,1,7,2,12,10,11,4,9,6,3,5,1,8,7,2,12,10,11,4,9,6,3,5,1,8,12
0390-8,1459990929050,2,4,9,12,10,11,1,8,5,2,6,7,3,4,9,12,10,11,1,8,5,2,6,7,3,12
0390-8,1459991148436,3,2,9,1,10,5,12,11,3,6,4,8,7,2,9,1,10,5,12,11,3,6,4,8,7,12
0390-8,1459991337092,4,11,10,7,5,2,3,8,12,4,6,1,9,11,10,7,5,2,3,8,12,4,6,1,9,12
0390-8,1459991600066,5,7,11,6,2,8,5,9,1,3,4,12,10,7,11,6,2,8,5,9,1,3,4,12,10,12
0390-8,1459991777514,6,7,12,8,4,10,3,9,5,6,11,1,2,7,12,8,4,10,3,9,5,6,11,1,2,12
5819-d,1459988969920,1,9,10,3,7,12,2,8,11,1,5,6,4,9,10,3,7,12,2,11,5,1,8,6,4,9
5819-d,1459989528400,2,4,10,9,11,3,2,7,6,1,8,5,12,4,10,9,11,3,2,7,6,1,8,5,12,12
5819-d,1459989729749,3,5,12,4,11,7,10,8,3,6,1,2,9,5,12,4,11,7,10,8,3,6,1,2,9,12
5819-d,1459989915204,4,2,10,12,3,1,9,8,7,4,11,6,5,2,10,12,3,1,9,8,7,4,11,6,5,12
5819-d,1459990054492,5,11,9,10,1,12,5,8,3,6,2,7,4,11,9,10,1,12,5,8,3,6,2,7,4,12
5819-d,1459990228031,6,1,12,2,8,5,11,10,9,6,4,7,3,1,12,2,8,5,11,10,9,6,4,7,3,12
6425-8,1459988798034,1,10,6,5,3,7,1,8,9,2,12,4,11,10,8,5,3,7,1,6,9,2,12,4,11,10
6425-8,1459989162386,2,5,1,6,12,4,9,3,11,7,10,8,2,5,3,6,12,4,9,1,11,7,10,8,2,10
6425-8,1459989517686,3,1,7,11,4,3,6,10,5,8,2,12,9,1,10,11,4,3,6,2,5,8,7,12,9,9
6425-8,1459989784771,4,4,11,9,7,2,6,12,5,8,3,10,1,4,11,9,7,2,6,12,5,8,3,10,1,12
6425-8,1459989999718,5,7,9,10,3,5,11,6,8,1,2,12,4,7,9,10,3,5,11,6,8,1,2,12,4,12
6425-8,1459990201116,6,5,6,9,10,8,11,3,4,1,7,12,2,5,6,9,10,8,11,3,4,1,7,12,2,12
6119-7,1459989137775,1,5,3,1,2,12,9,11,10,7,6,8,4,5,3,1,2,12,9,6,10,7,11,8,4,10
6119-7,1459989595097,2,1,3,12,8,4,2,10,11,7,6,5,9,1,3,12,8,4,2,10,11,7,6,5,9,12
6119-7,1459989859083,3,11,6,5,4,12,10,1,7,2,8,9,3,11,6,5,4,12,10,1,7,2,8,9,3,12
6119-7,1459990031193,4,4,11,9,3,5,6,8,2,10,7,12,1,4,11,9,3,5,6,8,2,10,7,12,1,12
6119-7,1459990229949,5,8,11,10,9,4,6,12,2,1,5,3,7,8,11,10,9,4,6,12,2,1,5,3,7,12
6119-7,1459990392217,6,1,5,12,4,3,7,10,2,9,6,8,11,1,5,12,4,3,7,10,2,9,6,8,11,12
3144-2,1459989416818,1,9,11,7,6,5,12,1,10,8,2,4,3,9,11,7,6,5,12,1,10,8,2,4,3,12
3144-2,1459989822564,2,12,7,3,11,4,10,2,1,5,9,8,6,12,7,3,11,4,10,2,1,5,9,8,6,12
3144-2,1459989972029,3,6,11,1,10,3,8,7,4,12,2,9,5,6,11,1,10,3,8,7,4,12,2,9,5,12
3144-2,1459990048220,4,6,9,1,2,5,7,11,4,10,12,3,8,6,9,1,2,5,7,11,4,10,12,3,8,12
3144-2,1459990148014,5,9,5,4,3,6,7,11,1,2,10,12,8,9,5,4,3,6,7,11,1,2,10,8,12,10
3144-2,1459990334136,6,5,10,2,9,7,12,11,8,3,1,6,4,5,10,2,9,7,12,11,8,3,1,6,4,12
1408-c,1459989173503,1,3,8,2,7,11,9,5,12,10,6,4,1,3,2,8,7,11,12,5,9,10,6,4,1,8
1408-c,1459989850316,2,7,8,1,9,10,6,2,11,12,4,3,5,7,8,1,9,10,11,2,6,12,4,3,5,10
1408-c,1459990784688,3,2,7,12,3,4,11,5,9,6,8,1,10,2,7,12,3,4,11,5,9,6,8,1,10,12
1408-c,1459991131695,4,9,5,12,7,8,4,11,10,2,1,6,3,9,5,12,7,8,4,11,10,3,1,6,2,10
1408-c,1459991420274,5,9,11,6,8,12,2,1,4,7,3,10,5,9,11,6,8,12,2,1,4,7,3,10,5,12
1408-c,1459991683427,6,3,4,7,11,5,10,1,12,6,8,9,2,3,4,7,11,5,10,1,12,6,8,9,2,12
7049-4,1459990781301,1,4,10,7,12,3,5,9,8,6,1,2,11,4,10,7,12,3,5,9,8,6,1,2,11,12
7049-4,1459991222498,2,7,11,10,3,9,12,4,8,5,2,1,6,7,11,10,3,9,12,4,8,5,2,1,6,12
7049-4,1459991452491,3,5,12,4,10,3,7,6,9,2,1,8,11,5,12,4,10,3,7,6,9,2,1,8,11,12
7049-4,1459991587344,4,5,9,11,6,8,2,3,4,1,7,10,12,5,9,11,6,8,2,3,4,1,7,10,12,12
7049-4,1459991669568,5,12,3,9,10,8,6,7,4,5,2,1,11,12,3,9,10,8,6,7,4,5,2,1,11,12
7049-4,1459991826434,6,4,10,7,2,11,1,6,12,5,8,3,9,4,10,7,2,11,1,6,12,5,8,3,9,12
1659-5,1459990423359,1,2,8,7,5,3,1,11,12,9,6,10,4,2,8,7,5,3,1,11,12,9,6,10,4,12
1659-5,1459990728787,2,3,11,12,5,1,8,9,4,6,10,7,2,3,11,12,5,1,8,9,4,6,10,7,2,12
1659-5,1459990990403,3,7,9,6,11,2,10,12,8,3,1,5,4,7,9,6,11,2,10,12,8,3,1,5,4,12
1659-5,1459991163191,4,4,2,11,9,5,1,7,8,3,12,10,6,4,2,11,9,5,1,7,8,3,12,10,6,12
1659-5,1459991277135,5,12,8,11,2,4,10,1,5,3,9,7,6,12,8,11,2,4,10,1,5,3,9,7,6,12
1659-5,1459991387422,6,5,2,12,11,7,8,4,3,6,10,1,9,5,2,12,11,7,8,4,3,6,10,1,9,12
1229-a,1459991197937,1,9,8,2,10,1,4,5,11,6,12,3,7,9,8,2,10,1,4,5,11,6,12,3,7,12
1229-a,1459991908927,2,12,8,2,9,1,5,3,7,10,4,11,6,12,8,2,9,1,5,3,7,10,4,11,6,12
1229-a,1459992185752,3,12,8,6,2,3,1,9,7,11,5,10,4,12,8,6,2,3,1,9,7,11,5,10,4,12
1229-a,1459992360501,4,11,4,12,10,2,3,1,7,5,6,9,8,11,4,12,10,2,3,1,7,5,6,9,8,12
1229-a,1459992449589,5,6,8,1,7,10,3,9,2,11,12,4,5,6,8,1,7,10,3,9,2,11,12,4,5,12
1229-a,1459992532209,6,2,11,9,1,12,6,10,3,8,5,4,7,2,11,9,1,12,6,10,3,8,5,4,7,12
8330-6,1459990686158,1,7,8,9,12,11,3,10,6,2,4,5,1,7,8,9,12,11,3,2,6,10,4,5,1,10
8330-6,1459991404029,2,1,12,9,8,5,4,7,6,11,10,3,2,1,12,9,8,5,4,7,6,11,10,3,2,12
8330-6,1459991627088,3,9,7,6,4,8,1,5,3,11,10,12,2,9,7,6,4,8,1,5,3,11,10,12,2,12
8330-6,1459991785269,4,2,5,3,7,9,11,6,8,10,12,1,4,2,5,3,7,9,11,6,8,10,12,1,4,12
8330-6,1459991890666,5,2,8,6,5,10,1,11,9,12,3,7,4,2,8,6,5,10,1,11,9,12,3,7,4,12
8330-6,1459991995784,6,1,8,9,3,11,10,6,7,12,5,2,4,1,8,9,3,11,10,6,7,12,5,2,4,12
7539-9,1459990480217,1,1,4,5,2,11,10,3,9,7,8,12,6,5,4,9,2,11,10,3,7,1,8,12,6,8
7539-9,1459991454898,2,9,3,4,5,2,6,10,12,8,7,11,1,9,3,4,5,10,6,2,12,8,7,11,1,10
7539-9,1459991873092,3,7,10,3,12,6,2,1,9,11,8,4,5,7,10,3,12,1,2,11,9,6,8,4,5,9
7539-9,1459992277577,4,9,3,11,8,4,7,10,6,5,1,2,12,9,3,11,8,10,7,4,6,5,1,2,12,10
7539-9,1459992625843,5,11,8,4,10,9,7,2,5,3,12,6,1,11,8,4,10,2,7,9,5,3,12,6,1,10
7539-9,1459992897450,6,8,2,7,6,3,1,5,9,11,12,10,4,8,2,7,6,5,1,3,9,11,12,10,4,10
0119-1,1459990748562,1,2,7,9,6,1,4,10,8,12,11,3,5,2,7,9,6,1,4,10,8,12,11,3,5,12
0119-1,1459991068140,2,8,7,1,3,12,4,11,2,6,10,5,9,8,7,1,3,12,4,11,2,6,10,5,9,12
0119-1,1459991252554,3,4,2,1,6,10,12,5,7,3,9,11,8,4,2,1,6,10,12,5,7,3,9,11,8,12
0119-1,1459991437905,4,3,2,7,8,12,1,10,4,11,9,6,5,3,2,7,8,12,1,10,4,11,9,6,5,12
0119-1,1459991579689,5,11,1,7,4,8,3,6,12,5,9,10,2,11,1,7,4,8,3,6,12,5,9,10,2,12
0119-1,1459991742667,6,11,6,9,3,12,1,2,7,10,4,5,8,11,6,9,3,12,1,2,7,10,4,5,8,12
2148-d,1459990889222,1,12,4,2,10,3,7,11,5,8,6,1,9,12,4,2,10,3,7,11,5,8,6,9,1,10
2148-d,1459990967376,2,6,10,4,9,12,11,2,1,8,3,7,5,6,10,4,9,12,11,2,1,8,3,5,7,10
2148-d,1459991037206,3,10,6,9,11,4,7,8,12,2,1,3,5,10,6,9,11,4,7,8,12,2,1,5,3,10
2148-d,1459991140080,4,8,4,3,5,6,7,10,11,1,2,12,9,8,4,3,5,6,7,10,11,1,2,9,12,10
2148-d,1459991205099,5,1,8,5,2,11,3,6,7,4,9,10,12,1,8,5,2,11,3,6,7,4,9,12,10,10
2148-d,1459991310924,6,10,12,9,1,8,2,5,4,7,11,3,6,10,12,9,1,8,2,5,4,7,11,6,3,10
3250-2,1459991414715,1,8,2,10,3,1,7,11,9,4,6,12,5,8,2,10,3,1,7,11,12,4,6,9,5,10
3250-2,1459991750193,2,6,8,4,12,9,11,7,1,3,2,10,5,7,8,4,12,9,11,6,10,3,2,5,1,7
3250-2,1459992026940,3,9,11,10,1,7,5,6,12,2,4,8,3,9,11,10,1,7,5,6,8,2,4,3,12,9
3250-2,1459992244119,4,4,2,10,3,6,12,8,5,9,11,7,1,4,2,10,3,6,12,8,7,9,11,5,1,10
3250-2,1459992371763,5,10,7,3,5,4,9,6,2,12,8,11,1,10,7,3,5,4,9,6,11,12,8,1,2,9
3250-2,1459992472079,6,7,6,12,1,8,2,5,9,11,3,10,4,7,6,12,1,8,2,5,10,11,3,4,9,9
1613-e,1459992648890,1,9,6,8,11,2,3,4,5,7,12,10,1,9,6,8,11,2,3,1,5,7,10,12,4,8
1613-e,1459992716160,2,1,2,9,5,3,10,7,8,6,11,4,12,10,2,9,5,3,12,4,7,6,1,8,11,5
1613-e,1459992790774,3,7,3,9,2,10,1,5,4,11,8,6,12,8,3,9,2,10,7,12,1,11,5,4,6,5
1613-e,1459992859752,4,2,10,11,1,6,12,8,3,9,7,4,5,8,10,11,1,6,2,12,4,9,7,3,5,7
1613-e,1459992911430,5,6,12,5,7,1,3,2,11,10,4,9,8,2,12,5,7,1,9,8,6,10,4,3,11,6
1613-e,1459992990624,6,2,11,3,10,8,4,12,9,7,5,1,6,12,11,3,10,8,1,4,5,7,9,6,2,5
8110-8,1459993618208,1,7,9,10,5,11,6,8,1,3,4,2,12,7,9,10,5,11,6,8,1,3,4,2,12,12
8110-8,1459993959651,2,4,7,1,10,3,5,9,8,12,6,11,2,4,7,1,10,3,5,9,8,12,6,11,2,12
8110-8,1459994180558,3,10,3,1,8,4,2,5,6,11,9,12,7,10,3,1,8,4,2,5,6,11,9,12,7,12
8110-8,1459994311887,4,3,2,1,5,4,8,9,7,6,10,12,11,3,2,1,5,4,8,9,7,6,10,12,11,12
8110-8,1459994423895,5,4,10,2,5,9,3,7,8,6,11,12,1,4,10,2,5,9,3,7,8,6,11,12,1,12
8110-8,1459994526364,6,5,6,9,3,7,12,4,8,1,2,11,10,5,6,9,3,7,12,4,8,1,2,11,10,12
3461-3,1459993143099,1,3,5,12,8,6,10,2,9,11,4,7,1,5,4,8,2,1,11,9,3,6,10,12,7,0
3461-3,1459993772924,2,5,8,11,1,2,7,4,3,6,12,9,10,10,8,7,1,2,9,4,6,12,5,11,3,4
3461-3,1459993935576,3,11,8,10,3,12,2,1,9,4,7,5,6,4,12,10,9,6,2,1,7,11,8,5,3,4
3461-3,1459994032264,4,10,5,4,8,6,11,3,9,1,2,7,12,10,6,8,1,2,11,3,9,12,7,4,5,4
3461-3,1459994212401,5,7,1,6,9,4,12,2,5,8,10,3,11,7,1,6,12,4,2,3,5,10,11,9,8,5
3461-3,1459994300975,6,10,7,5,6,2,9,8,11,4,3,12,1,7,10,5,6,2,4,8,3,12,11,1,9,4
9781-c,1459995727505,1,10,5,12,3,11,2,1,9,8,4,6,7,10,5,12,3,6,2,11,9,8,4,1,7,9
9781-c,1459995980981,2,8,3,12,4,6,9,2,10,7,5,11,1,8,3,12,4,6,9,1,10,7,5,2,11,9
9781-c,1459996190205,3,6,7,5,11,10,9,3,4,2,8,1,12,6,7,5,11,10,9,3,4,2,8,1,12,12
9781-c,1459996304970,4,11,4,7,12,9,10,1,5,2,8,6,3,11,4,7,12,9,10,1,5,2,8,6,3,12
9781-c,1459996389397,5,10,1,8,2,7,4,11,6,5,12,9,3,10,1,8,2,7,4,11,6,5,12,9,3,12
9781-c,1459996463547,6,11,3,7,1,2,5,8,4,9,6,10,12,11,3,7,1,2,5,8,4,9,6,10,12,12
8027-8,1459996344221,1,12,3,10,1,11,7,5,8,2,6,4,9,12,3,10,1,11,7,5,8,2,6,4,9,12
8027-8,1459996791664,2,7,9,8,10,12,11,4,5,2,6,1,3,7,9,8,10,12,11,4,5,2,6,1,3,12
8027-8,1459997147392,3,5,10,12,1,3,6,7,4,11,8,2,9,5,10,12,1,3,6,7,4,11,8,2,9,12
8027-8,1459997149305,4,6,1,10,7,5,2,11,9,3,12,8,4,4,7,6,12,10,8,2,1,9,3,11,5,0
8027-8,1459997445676,5,7,6,8,1,3,2,10,9,5,4,12,11,7,6,8,1,3,2,10,9,5,4,12,11,12
8027-8,1459997710266,6,5,11,7,3,8,2,6,4,9,10,12,1,5,11,7,3,8,2,6,4,9,10,12,1,12
0774-4,1459997322811,1,11,10,5,2,4,12,6,9,7,8,1,3,11,10,5,2,4,12,6,9,7,3,1,8,10
0774-4,1459998775425,2,7,2,8,3,11,5,12,4,1,6,10,9,7,2,8,3,11,5,12,4,1,6,10,9,12
0774-4,1459999074959,3,1,8,10,5,7,12,11,2,3,9,6,4,1,8,10,5,7,12,11,2,3,9,6,4,12
0774-4,1459999279143,4,10,2,6,11,3,12,1,5,8,9,7,4,10,2,6,11,3,12,1,5,8,9,7,4,12
0774-4,1459999472155,5,9,11,10,1,7,5,6,3,2,12,8,4,9,11,10,1,7,5,6,3,2,12,8,4,12
0774-4,1459999663981,6,11,8,6,5,2,4,7,10,1,12,3,9,11,8,6,5,2,4,7,10,1,12,3,9,12
6836-2,1459998444622,1,5,4,2,10,12,6,11,9,1,8,3,7,5,4,2,10,12,11,6,9,1,8,3,7,10
6836-2,1459998817529,2,6,9,2,1,10,11,3,5,4,7,12,8,5,3,2,1,10,11,8,6,4,7,12,9,7
6836-2,1459999095847,3,12,9,11,7,8,4,10,2,1,6,5,3,12,9,11,7,8,10,4,2,1,6,5,3,10
6836-2,1459999336176,4,7,10,11,12,4,5,6,8,9,3,1,2,7,10,11,12,4,6,5,8,9,3,1,2,10
6836-2,1459999336391,5,9,7,11,3,10,12,4,2,5,6,1,8,1,2,9,6,4,3,8,10,12,11,5,7,0
6836-2,1459999608231,6,12,2,3,5,1,4,7,8,9,6,11,10,12,2,3,5,1,7,4,8,9,6,11,10,10
